F1,SI,JI,IC_av,cluster count,segment,stream,size
,0.3296815361638042,,"[1.9474083195202867, 0.2224713244570613, 1.7249369950632254]",2.0,8,-,3
,,,"[1.3275569557962834, 1.3275569557962834]",1.0,9,-,3
,,,"[1.5239742418925883, 1.5239742418925883]",1.0,10,-,3
,,,"[1.4313170725441822, 1.4313170725441822]",1.0,11,-,3
,0.05933422817517097,,"[1.328055368331038, 0.08026913538507573, 0.47653352459109, 0.7712527083548724]",3.0,1,-,5
,,,"[2.068951531773878, 2.068951531773878]",1.0,2,-,5
,,,"[1.36719991244969, 1.36719991244969]",1.0,3,-,5
,,,"[1.487386476017532, 1.487386476017532]",1.0,4,-,5
,,,"[1.597426039705854, 1.597426039705854]",1.0,5,-,5
,,,"[1.8637648660229338, 1.8637648660229338]",1.0,6,-,5
,,,"[3.1725361568421557, 3.1725361568421557]",1.0,7,-,5
,0.32135464103896166,,"[1.9541575884412252, 0.19352288311003016, 1.760634705331195]",2.0,8,-,5
,,,"[1.3275569557962834, 1.3275569557962834]",1.0,9,-,5
,,,"[1.4199904181813094, 1.4199904181813094]",1.0,10,-,5
,,,"[1.4313170725441822, 1.4313170725441822]",1.0,11,-,5
,,,"[1.2866539324945687, 1.2866539324945687]",1.0,1,-,7
,,,"[2.068951531773878, 2.068951531773878]",1.0,2,-,7
,,,"[1.36719991244969, 1.36719991244969]",1.0,3,-,7
,,,"[1.487386476017532, 1.487386476017532]",1.0,4,-,7
,,,"[1.597426039705854, 1.597426039705854]",1.0,5,-,7
,,,"[1.8637648660229338, 1.8637648660229338]",1.0,6,-,7
,,,"[3.1725361568421557, 3.1725361568421557]",1.0,7,-,7
,,,"[1.5879681342402452, 1.5879681342402452]",1.0,8,-,7
,,,,,9,-,7
,,,"[0.41846720459976183, 0.41846720459976183]",1.0,10,-,7
,,,"[0.6048422949792165, 0.6048422949792165]",1.0,11,-,7
,,,"[4.792246254522625, 4.792246254522625]",1.0,1,-,3
,,,"[4.443435487566948, 4.443435487566948]",1.0,2,-,3
,,,"[5.8961569613276, 5.8961569613276]",1.0,3,-,3
,,,"[6.193391788132851, 6.193391788132851]",1.0,4,-,3
,,,"[5.889612158043465, 5.889612158043465]",1.0,5,-,3
,,,"[5.101096166257291, 5.101096166257291]",1.0,6,-,3
,,,"[3.9730050447478535, 3.9730050447478535]",1.0,7,-,3
,,,"[4.69195602960797, 4.69195602960797]",1.0,8,-,3
,,,"[5.39851954059864, 5.39851954059864]",1.0,9,-,3
,,,"[5.860028886803222, 5.860028886803222]",1.0,10,-,3
,,,"[5.44234577435758, 5.44234577435758]",1.0,11,-,3
,,,"[4.792246254522625, 4.792246254522625]",1.0,1,-,5
,,,"[4.443435487566948, 4.443435487566948]",1.0,2,-,5
,,,"[5.8961569613276, 5.8961569613276]",1.0,3,-,5
,,,"[6.193391788132851, 6.193391788132851]",1.0,4,-,5
,,,"[5.889612158043465, 5.889612158043465]",1.0,5,-,5
,,,"[5.101096166257291, 5.101096166257291]",1.0,6,-,5
,,,"[3.9730050447478535, 3.9730050447478535]",1.0,7,-,5
,,,"[4.69195602960797, 4.69195602960797]",1.0,8,-,5
,,,"[5.39851954059864, 5.39851954059864]",1.0,9,-,5
,,,"[5.860028886803222, 5.860028886803222]",1.0,10,-,5
,,,"[5.44234577435758, 5.44234577435758]",1.0,11,-,5
,,,"[4.792246254522625, 4.792246254522625]",1.0,1,-,7
,,,"[4.443435487566948, 4.443435487566948]",1.0,2,-,7
,,,"[5.8961569613276, 5.8961569613276]",1.0,3,-,7
,,,"[6.193391788132851, 6.193391788132851]",1.0,4,-,7
,,,"[5.889612158043465, 5.889612158043465]",1.0,5,-,7
,,,"[5.101096166257291, 5.101096166257291]",1.0,6,-,7
,,,"[3.9730050447478535, 3.9730050447478535]",1.0,7,-,7
,,,"[4.69195602960797, 4.69195602960797]",1.0,8,-,7
,,,"[5.39851954059864, 5.39851954059864]",1.0,9,-,7
,,,"[5.860028886803222, 5.860028886803222]",1.0,10,-,7
,,,"[5.44234577435758, 5.44234577435758]",1.0,11,-,7
,,,"[3.4816502059059586, 3.4816502059059586]",1.0,1,-,3
,,,"[2.8709902967676775, 2.8709902967676775]",1.0,2,-,3
,,,"[5.370195291415967, 5.370195291415967]",1.0,3,-,3
,0.030053040231038733,,"[5.785487951068218, 2.821170840399115, 2.821170840399115, 0.14314627026998794]",3.0,4,-,3
,0.4409476886106274,,"[4.456575245174953, 0.5668911233737084, 3.8896841218012446]",2.0,5,-,3
,0.3040728575774948,,"[4.17292892682068, 3.8838532701647246, 0.28907565665595564]",2.0,6,-,3
,,,"[3.2093958219637515, 3.2093958219637515]",1.0,7,-,3
,,,"[3.6838252185251625, 3.6838252185251625]",1.0,8,-,3
,0.25853713802831746,,"[4.630623172494666, 2.257188472317755, 2.3734347001769107]",2.0,9,-,3
,0.6909215205501321,,"[11.215834955960649, 9.846119081956909, 1.36971587400374]",2.0,10,-,3
,0.09773876048026459,,"[12.499317611684758, 3.138246127460837, 7.685646632908721, 0.41885621282879937, 0.41885621282879937, 0.41885621282879937, 0.41885621282879937]",6.0,11,-,3
,,,"[3.4816502059059586, 3.4816502059059586]",1.0,1,-,5
,,,"[3.0889006911334618, 3.0889006911334618]",1.0,2,-,5
,,,"[5.555514490071457, 5.555514490071457]",1.0,3,-,5
,,,"[7.616692601562549, 7.616692601562549]",1.0,4,-,5
,,,"[4.615413494541846, 4.615413494541846]",1.0,5,-,5
,,,"[4.2396655404271515, 4.2396655404271515]",1.0,6,-,5
,,,"[3.2093958219637515, 3.2093958219637515]",1.0,7,-,5
,,,"[3.6838252185251625, 3.6838252185251625]",1.0,8,-,5
,,,"[6.336840447723784, 6.336840447723784]",1.0,9,-,5
,,,"[10.172382277749914, 10.172382277749914]",1.0,10,-,5
,,,"[9.81409240058195, 9.81409240058195]",1.0,11,-,5
,,,"[3.4816502059059586, 3.4816502059059586]",1.0,1,-,7
,,,"[3.0889006911334618, 3.0889006911334618]",1.0,2,-,7
,,,"[5.47096531668665, 5.47096531668665]",1.0,3,-,7
,,,"[7.616692601562549, 7.616692601562549]",1.0,4,-,7
,,,"[4.615413494541846, 4.615413494541846]",1.0,5,-,7
,,,"[4.2396655404271515, 4.2396655404271515]",1.0,6,-,7
,,,"[3.2093958219637515, 3.2093958219637515]",1.0,7,-,7
,,,"[3.6838252185251625, 3.6838252185251625]",1.0,8,-,7
,,,"[6.336840447723784, 6.336840447723784]",1.0,9,-,7
,,,"[10.548518376543866, 10.548518376543866]",1.0,10,-,7
,,,"[9.81409240058195, 9.81409240058195]",1.0,11,-,7
