cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.16083916 0.37062937 0.2027972  0.02097902 0.04195804 0.32167832
 0.12587413 0.16783217]","[0.         0.07692308 0.         0.         0.         0.02097902
 0.         0.        ]","[0.08041958 0.22377622 0.1013986  0.01048951 0.02097902 0.17132867
 0.06293706 0.08391608]",24,,,,,,,,,,
"[0.26573427 0.27972028 0.13286713 0.01398601 0.06293706 0.11188811
 0.13986014 0.09090909]","[0.16083916 0.1048951  0.         0.         0.         0.02797203
 0.         0.01398601]","[0.21328671 0.19230769 0.06643357 0.00699301 0.03146853 0.06993007
 0.06993007 0.05244755]",27,,,,,,,,,,
"[0.5034965  0.30769231 0.06993007 0.         0.04195804 0.0979021
 0.06993007 0.2027972 ]","[0.1958042  0.11888112 0.         0.         0.         0.02097902
 0.         0.01398601]","[0.34965035 0.21328671 0.03496503 0.         0.02097902 0.05944056
 0.03496503 0.10839161]",9,,,,,,,,,,
"[0.05594406 0.15384615 0.01398601 0.         0.         0.32167832
 0.12587413 0.09090909]","[0.03496503 0.08391608 0.         0.         0.         0.30769231
 0.04195804 0.03496503]","[0.04545455 0.11888112 0.00699301 0.         0.         0.31468531
 0.08391608 0.06293706]",13,,,,,,,,,,
"[0.09090909 0.2027972  0.2027972  0.         0.02097902 0.09090909
 0.06293706 0.04195804]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.04545455 0.1013986  0.1013986  0.         0.01048951 0.04545455
 0.03146853 0.02097902]",35,,,,,,,,,,
"[0.32167832 0.32867133 0.0979021  0.00699301 0.04195804 0.06293706
 0.12587413 0.16783217]","[0.07692308 0.2027972  0.         0.         0.         0.02797203
 0.         0.06293706]","[0.1993007  0.26573427 0.04895105 0.0034965  0.02097902 0.04545455
 0.06293706 0.11538462]",1,,,,,,,,,,
"[0.20979021 0.37062937 0.         0.00699301 0.03496503 0.04895105
 0.03496503 0.07692308]","[0.11188811 0.32167832 0.         0.         0.01398601 0.00699301
 0.         0.01398601]","[0.16083916 0.34615385 0.         0.0034965  0.02447552 0.02797203
 0.01748252 0.04545455]",23,,,,,,,,,,
"[0.16083916 0.37062937 0.01398601 0.00699301 0.03496503 0.16083916
 0.12587413 0.16783217]","[0.03496503 0.26573427 0.         0.         0.         0.01398601
 0.         0.        ]","[0.0979021  0.31818182 0.00699301 0.0034965  0.01748252 0.08741259
 0.06293706 0.08391608]",3,,,,,,,,,,
"[0.5034965  0.30769231 0.00699301 0.         0.02797203 0.07692308
 0.06993007 0.12587413]","[0.32167832 0.23076923 0.         0.         0.02097902 0.02097902
 0.         0.01398601]","[0.41258741 0.26923077 0.0034965  0.         0.02447552 0.04895105
 0.03496503 0.06993007]",39,,,,,,,,,,
"[0.29370629 0.01398601 0.         0.         0.03496503 0.03496503
 0.06293706 0.09090909]","[0.23776224 0.01398601 0.         0.         0.         0.01398601
 0.03496503 0.06293706]","[0.26573427 0.01398601 0.         0.         0.01748252 0.02447552
 0.04895105 0.07692308]",37,,,,,,,,,,
"[0.2027972  0.18181818 0.13286713 0.         0.03496503 0.11188811
 0.04195804 0.03496503]","[0.14685315 0.1048951  0.         0.         0.         0.02797203
 0.         0.        ]","[0.17482517 0.14335664 0.06643357 0.         0.01748252 0.06993007
 0.02097902 0.01748252]",58,,,,,,,,,,
"[0.26573427 0.18181818 0.02097902 0.         0.         0.04195804
 0.13286713 0.03496503]","[0.22377622 0.13986014 0.         0.         0.         0.04195804
 0.09090909 0.02097902]","[0.24475524 0.16083916 0.01048951 0.         0.         0.04195804
 0.11188811 0.02797203]",20,,,,,,,,,,
